id,user_id,sec_uid,short_user_id,user_unique_id,nickname,avatar,user_signature,ip_location,add_ts,last_modify_ts,comment_id,aweme_id,content,create_time,sub_comment_count,parent_comment_id,like_count,pictures
1,1701681778923816,MS4wLjABAAAA7w-BDn9asN0z6bd0i-m32pBZi-SaLD_Atowezqg9MSegHd14WZKck5VI0IuJvGv_,3857879564,WXY_0504,煮榴莲真的好吃,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-i-0813_2ac9e76b61ef4aac99ecfcc186d9e23b.jpeg?from=2956013662,yeahyeahyeah！,湖南,1739169673434,1739185206791,7276880838074532644,7276760364535041341,油耗太高了！太夸张了。,1694280894,436,0,15494,https://p3-sign.douyinpic.com/tos-cn-i-p14lwwcsbr/07bc903f747043a18b48d0ce51dfac3e~tplv-p14lwwcsbr-7.image?lk3s=7b078dd2&x-expires=1739206800&x-signature=n7uO6XObathPXWFkcyrNuCneUmU%3D&from=2064092626&se=false&sc=image&biz_tag=aweme_comment&l=20250210190005C2C8DF063B934E00CF0B
2,71137999605,MS4wLjABAAAAUbz9BPyymGKlrtGugMTS8BL4Cs9Lc-6oTiZ4X627i7A,125376048,,秋月凉风,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-avt-0015_9b96eed29dc282bf0913c6ab4f9633ea.jpeg?from=2956013662,你的任性必须配得上你的本事！15884422180,四川,1739169673443,1739185206801,7425612807439680296,7276760364535041341,自从买了奥迪A6第一天，我就开始车奴的生崖了[流泪],1728910214,2,0,2,https://p11-sign.douyinpic.com/tos-cn-i-p14lwwcsbr/ba05397f98a5418bbd37b13cc76f8d51~tplv-p14lwwcsbr-7.image?lk3s=7b078dd2&x-expires=1739206800&x-signature=3W8EYrEZDRpEw%2BR6iIzlAj7oRa4%3D&from=2064092626&se=false&sc=image&biz_tag=aweme_comment&l=20250210190005C2C8DF063B934E00CF0B
3,1744242141039607,MS4wLjABAAAAvpYMOOpc6vE-PqPTaR-VxYeGcKc3BkCmfAqevQcYaCpIJKK57okYag66oQE6X7la,62839668114,h62839668118,应 辉,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-avt-0015_de1f824710566b643614e6c020c2bb63.jpeg?from=2956013662,唱歌运动,江西,1739169673450,1739170002014,7436813821954507556,7276760364535041341,说实话 买车的时候我从来没考虑过其它品牌的车 直接就A6因为喜欢 人不管什么时候买什么东西都应该买自己喜欢的 不要买别人喜欢的 因为买回来毕竟是自己用  青菜萝卜各有不同每个人的口味也不同 因人而异 花那么多钱就是为了让自己开心 何必在意别人的眼光和想法  例如自己喜欢的女人 自己觉得漂亮就好 别人说不漂亮难道你就不喜欢了吗  在这样的互联网上说哪个不好 哪个好 真没必要,1731518170,1,0,2,https://p9-sign.douyinpic.com/tos-cn-i-p14lwwcsbr/48ca96fe0501423fabef83aeb3b9fa83~tplv-p14lwwcsbr-7.image?lk3s=7b078dd2&x-expires=1739188800&x-signature=ayR19kaw0sLejvrJB8dZQxryVRU%3D&from=2064092626&se=false&sc=image&biz_tag=aweme_comment&l=2025021014464084ACCFA81C7BA101D4CF
4,101301873407,MS4wLjABAAAAfqOc0afQmeBk1qzUt_vDXc3_GJJGEwUb2GIKlawwhwk,1256660084,AK15332683539,@弓长张@,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-i-0813_6a9ebe7915a74d2b8b47e7eb37a65cc9.jpeg?from=2956013662,,陕西,1739169673459,1739185206816,7276790077144351546,7276760364535041341,你看这是A几[呲牙][呲牙][呲牙],1694259727,61,0,2175,https://p26-sign.douyinpic.com/tos-cn-i-p14lwwcsbr/0699dc485ac24646a23327b04cb1dee1~tplv-p14lwwcsbr-7.image?lk3s=7b078dd2&x-expires=1739206800&x-signature=vBgSybR2Pqknn8gXn8CBwKI%2BV6A%3D&from=2064092626&se=false&sc=image&biz_tag=aweme_comment&l=20250210190005C2C8DF063B934E00CF0B
5,61021422852,MS4wLjABAAAAun6t3TPw16r-mwH-PDJXeC97mIs83Q9ksBm8MGagb1g,128518513,fjy518518,黑金情感,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-i-0813_3f8cbc7cc72e47c08416584a37f5051b.jpeg?from=2956013662,"感谢抖音平台！感谢您的关注！
🌹情感音乐🌹
🍁希望您喜欢🍁",山西,1739169673466,1739170002029,7468233986398864143,7276760364535041341,大哥，你可真会说[捂脸],1738833732,0,0,0,
6,2510922968996823,MS4wLjABAAAAkC3DQYxHqkXu1vq2egVJxikQqz3-0HcHlLujR1neA0ItsdSfJxT3yFZCrcN6SGj5,2935724422,m8800331144,m8800331144,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-avt-0015_6865f2328f956eb9574dbf55aa85d82a.jpeg?from=2956013662,我是藤瓜,河北,1739169673475,1739170002021,7466947722747577147,7276760364535041341,[捂脸],1738534257,0,0,0,
7,1152752508210563,MS4wLjABAAAAJnPMjb15d_6JfEUJroSrgNk--YBCW6DYHGi_q0zG70YxjCbq1F2L_Cc_0OnH0ofI,80154486037,80154486037,人生不知道未来的路,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-i-0813c001_o8DEGI85AAAIB5bL7ebffLnEFAoNUDBcDAZxAR.jpeg?from=2956013662,,安徽,1739169673482,1739170002047,7466995101166109480,7276760364535041341,[呲牙][呲牙][呲牙][呲牙][呲牙],1738545289,0,0,0,
8,92314267475,MS4wLjABAAAAJhn0BcIxoqhh9wSiCh6CYb7erh10R76xzVonILOuJ_o,1341048322,mm1368806,落花有意流水无情,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-avt-0015_904e868bdd090de34a029c80b3ac9f38.jpeg?from=2956013662,相遇别太早，我还不够好,四川,1739169673493,1739170002057,7463487140141417274,7276760364535041341,[尬笑][尬笑][尬笑][尬笑][尬笑][尬笑][尬笑][尬笑][尬笑],1737728518,0,0,0,
9,3980695308079468,MS4wLjABAAAA7ALtbbal5xGes0AsvQcg_mkHWd4RWqWBW0lACoCU_96y1FdQ8u0Gw767YLOp5WQx,65428920624,65428920624,大众青年,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-avt-0015_6c4e554bbecfaf0aa442b26629b12ddc.jpeg?from=2956013662,交流日常用车体验  朋友圈不想发,河南,1739169673499,1739185206865,7287084786220516150,7276760364535041341,油耗确实不低[捂脸],1696656661,1,0,21,https://p26-sign.douyinpic.com/tos-cn-i-p14lwwcsbr/8d5984e9ebe843278ca9c53d32d9af21~tplv-p14lwwcsbr-7.image?lk3s=7b078dd2&x-expires=1739206800&x-signature=xB%2BNxfR2jzJplIi6f3BVkbjOs30%3D&from=2064092626&se=false&sc=image&biz_tag=aweme_comment&l=20250210190005C2C8DF063B934E00CF0B
10,3211004581514797,MS4wLjABAAAABtW7o_djLUtCerDqJ9Yi7hvzuiZiHYPQLz_93BL8t7a4pegj9NpYO0fzUSNq0YHn,20706723192,20706723192,锋sir,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-i-0813c001_dc8bb51101364be586853df1833c53ae.jpeg?from=2956013662,,山东,1739169673511,1739185206849,7276857788193850147,7276760364535041341,,1694275510,4,0,158,https://p26-sign.douyinpic.com/tos-cn-i-p14lwwcsbr/70d44616d12c4e4197f31a3023390182~tplv-p14lwwcsbr-7.image?lk3s=7b078dd2&x-expires=1739206800&x-signature=mTfmanKtvxj2TnmIMXHNQ3UXlT4%3D&from=2064092626&se=false&sc=image&biz_tag=aweme_comment&l=20250210190005C2C8DF063B934E00CF0B
